"date","count","package","version"
2019-06-17,3,"rjdqa","rjdqa_0.1.0"
2019-06-18,6,"rjdqa","rjdqa_0.1.0"
2019-06-19,8,"rjdqa","rjdqa_0.1.0"
2019-06-20,5,"rjdqa","rjdqa_0.1.0"
2019-06-21,8,"rjdqa","rjdqa_0.1.0"
2019-06-22,2,"rjdqa","rjdqa_0.1.0"
2019-06-23,6,"rjdqa","rjdqa_0.1.0"
2019-06-24,7,"rjdqa","rjdqa_0.1.0"
2019-06-25,14,"rjdqa","rjdqa_0.1.0"
2019-06-26,5,"rjdqa","rjdqa_0.1.0"
2019-06-27,4,"rjdqa","rjdqa_0.1.0"
2019-06-28,11,"rjdqa","rjdqa_0.1.0"
2019-06-29,5,"rjdqa","rjdqa_0.1.0"
2019-06-30,1,"rjdqa","rjdqa_0.1.0"
2019-07-01,15,"rjdqa","rjdqa_0.1.0"
2019-07-02,6,"rjdqa","rjdqa_0.1.0"
2019-07-03,9,"rjdqa","rjdqa_0.1.0"
2019-07-04,6,"rjdqa","rjdqa_0.1.0"
2019-07-05,7,"rjdqa","rjdqa_0.1.0"
2019-07-06,7,"rjdqa","rjdqa_0.1.0"
2019-07-07,8,"rjdqa","rjdqa_0.1.0"
2019-07-08,12,"rjdqa","rjdqa_0.1.0"
2019-07-09,42,"rjdqa","rjdqa_0.1.0"
2019-07-10,12,"rjdqa","rjdqa_0.1.0"
2019-07-11,11,"rjdqa","rjdqa_0.1.0"
2019-07-12,8,"rjdqa","rjdqa_0.1.0"
2019-07-13,13,"rjdqa","rjdqa_0.1.0"
2019-07-14,6,"rjdqa","rjdqa_0.1.0"
2019-07-15,6,"rjdqa","rjdqa_0.1.0"
2019-07-16,8,"rjdqa","rjdqa_0.1.0"
2019-07-17,5,"rjdqa","rjdqa_0.1.0"
2019-07-18,26,"rjdqa","rjdqa_0.1.0"
2019-07-19,10,"rjdqa","rjdqa_0.1.0"
2019-07-20,8,"rjdqa","rjdqa_0.1.0"
2019-07-21,16,"rjdqa","rjdqa_0.1.0"
2019-07-22,22,"rjdqa","rjdqa_0.1.0"
2019-07-23,15,"rjdqa","rjdqa_0.1.0"
2019-07-24,4,"rjdqa","rjdqa_0.1.0"
2019-07-25,9,"rjdqa","rjdqa_0.1.0"
2019-07-26,3,"rjdqa","rjdqa_0.1.0"
2019-07-27,8,"rjdqa","rjdqa_0.1.0"
2019-07-28,0,"rjdqa","rjdqa_0.1.0"
2019-07-29,6,"rjdqa","rjdqa_0.1.0"
2019-07-30,9,"rjdqa","rjdqa_0.1.0"
2019-07-31,9,"rjdqa","rjdqa_0.1.0"
2019-08-01,2,"rjdqa","rjdqa_0.1.0"
2019-08-02,6,"rjdqa","rjdqa_0.1.0"
2019-08-03,1,"rjdqa","rjdqa_0.1.0"
2019-08-04,2,"rjdqa","rjdqa_0.1.0"
2019-08-05,6,"rjdqa","rjdqa_0.1.0"
2019-08-06,10,"rjdqa","rjdqa_0.1.0"
2019-08-07,20,"rjdqa","rjdqa_0.1.0"
2019-08-08,4,"rjdqa","rjdqa_0.1.0"
2019-08-09,8,"rjdqa","rjdqa_0.1.0"
2019-08-10,5,"rjdqa","rjdqa_0.1.0"
2019-08-11,12,"rjdqa","rjdqa_0.1.0"
2019-08-12,8,"rjdqa","rjdqa_0.1.0"
2019-08-13,2,"rjdqa","rjdqa_0.1.0"
2019-08-14,7,"rjdqa","rjdqa_0.1.0"
2019-08-15,3,"rjdqa","rjdqa_0.1.0"
2019-08-16,8,"rjdqa","rjdqa_0.1.0"
2019-08-17,5,"rjdqa","rjdqa_0.1.0"
2019-08-18,4,"rjdqa","rjdqa_0.1.0"
2019-08-19,5,"rjdqa","rjdqa_0.1.0"
2019-08-20,2,"rjdqa","rjdqa_0.1.0"
2019-08-21,6,"rjdqa","rjdqa_0.1.0"
2019-08-22,7,"rjdqa","rjdqa_0.1.0"
2019-08-23,9,"rjdqa","rjdqa_0.1.0"
2019-08-24,2,"rjdqa","rjdqa_0.1.0"
2019-08-25,2,"rjdqa","rjdqa_0.1.0"
2019-08-26,4,"rjdqa","rjdqa_0.1.0"
2019-08-27,3,"rjdqa","rjdqa_0.1.0"
2019-08-28,3,"rjdqa","rjdqa_0.1.0"
2019-08-29,7,"rjdqa","rjdqa_0.1.0"
2019-08-30,30,"rjdqa","rjdqa_0.1.0"
2019-08-31,4,"rjdqa","rjdqa_0.1.0"
2019-09-01,5,"rjdqa","rjdqa_0.1.0"
2019-09-02,5,"rjdqa","rjdqa_0.1.0"
2019-09-03,9,"rjdqa","rjdqa_0.1.0"
2019-09-04,11,"rjdqa","rjdqa_0.1.0"
2019-09-05,13,"rjdqa","rjdqa_0.1.0"
2019-09-06,10,"rjdqa","rjdqa_0.1.0"
2019-09-07,4,"rjdqa","rjdqa_0.1.0"
2019-09-08,5,"rjdqa","rjdqa_0.1.0"
2019-09-09,6,"rjdqa","rjdqa_0.1.0"
2019-09-10,12,"rjdqa","rjdqa_0.1.0"
2019-09-11,8,"rjdqa","rjdqa_0.1.0"
2019-09-12,11,"rjdqa","rjdqa_0.1.0"
2019-09-13,7,"rjdqa","rjdqa_0.1.0"
2019-09-14,5,"rjdqa","rjdqa_0.1.0"
2019-09-15,16,"rjdqa","rjdqa_0.1.0"
2019-09-16,13,"rjdqa","rjdqa_0.1.0"
2019-09-17,32,"rjdqa","rjdqa_0.1.0"
2019-09-18,16,"rjdqa","rjdqa_0.1.0"
2019-09-19,7,"rjdqa","rjdqa_0.1.0"
2019-09-20,10,"rjdqa","rjdqa_0.1.0"
2019-09-21,8,"rjdqa","rjdqa_0.1.0"
2019-09-22,5,"rjdqa","rjdqa_0.1.0"
2019-09-23,11,"rjdqa","rjdqa_0.1.0"
2019-09-24,6,"rjdqa","rjdqa_0.1.0"
2019-09-25,10,"rjdqa","rjdqa_0.1.0"
2019-09-26,7,"rjdqa","rjdqa_0.1.0"
2019-09-27,4,"rjdqa","rjdqa_0.1.0"
2019-09-28,4,"rjdqa","rjdqa_0.1.0"
2019-09-29,4,"rjdqa","rjdqa_0.1.0"
2019-09-30,7,"rjdqa","rjdqa_0.1.0"
2019-10-01,9,"rjdqa","rjdqa_0.1.0"
2019-10-02,6,"rjdqa","rjdqa_0.1.0"
2019-10-03,3,"rjdqa","rjdqa_0.1.0"
2019-10-04,5,"rjdqa","rjdqa_0.1.0"
2019-10-05,5,"rjdqa","rjdqa_0.1.0"
2019-10-06,8,"rjdqa","rjdqa_0.1.0"
2019-10-07,3,"rjdqa","rjdqa_0.1.0"
2019-10-08,5,"rjdqa","rjdqa_0.1.0"
2019-10-09,8,"rjdqa","rjdqa_0.1.0"
2019-10-10,6,"rjdqa","rjdqa_0.1.0"
2019-10-11,12,"rjdqa","rjdqa_0.1.0"
2019-10-12,10,"rjdqa","rjdqa_0.1.0"
2019-10-13,8,"rjdqa","rjdqa_0.1.0"
2019-10-14,17,"rjdqa","rjdqa_0.1.0"
2019-10-15,10,"rjdqa","rjdqa_0.1.0"
2019-10-16,3,"rjdqa","rjdqa_0.1.0"
