"date","count","package","version"
2019-06-15,191,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-16,189,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-17,10,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-18,9,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-19,2,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-20,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-21,10,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-22,4,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-23,1,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-24,4,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-25,12,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-26,7,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-27,4,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-28,10,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-29,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-06-30,1,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-01,11,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-02,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-03,9,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-04,6,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-05,7,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-06,7,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-07,8,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-08,11,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-09,42,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-10,10,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-11,10,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-12,8,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-13,12,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-14,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-15,6,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-16,8,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-17,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-18,26,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-19,10,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-20,8,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-21,16,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-22,24,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-23,15,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-24,4,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-25,10,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-26,3,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-27,8,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-28,0,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-29,6,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-30,14,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-07-31,9,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-01,2,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-02,6,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-03,1,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-04,2,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-05,6,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-06,9,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-07,20,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-08,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-09,6,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-10,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-11,12,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-12,7,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-13,2,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-14,7,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-15,3,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-16,8,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-17,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-18,4,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-19,6,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-20,2,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-21,6,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-22,7,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-23,7,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-24,3,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-25,2,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-26,3,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-27,3,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-28,3,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-29,7,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-30,30,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-08-31,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-01,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-02,6,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-03,9,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-04,11,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-05,13,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-06,10,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-07,4,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-08,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-09,5,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-10,12,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-11,8,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-12,11,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-13,7,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-14,9,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-15,13,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-16,13,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-17,32,"rjwsacruncher","rjwsacruncher_0.1.0"
2019-09-18,16,"rjwsacruncher","rjwsacruncher_0.1.0"
