"Name","Date release","Total downloads","Cumulative downloads"
"RJDemetra_0.1.1",2019-03-04,641,641
"RJDemetra_0.1.2",2019-04-16,1263,1904
"RJDemetra_0.1.3",2019-06-26,3482,5386
"RJDemetra_0.1.4",2020-01-09,1981,7367
"RJDemetra_0.1.5",2020-03-11,4298,11665
"RJDemetra_0.1.6",2020-08-10,8946,20611
"RJDemetra_0.1.7",2021-06-07,5987,26598
"RJDemetra_0.1.9",2021-11-11,4906,31504
"RJDemetra_0.2.0",2022-03-23,6567,38071
"RJDemetra_0.2.1",2022-11-11,4753,42824
"RJDemetra_0.2.2",2023-04-27,1630,44454
"RJDemetra_0.2.3",2023-06-02,4513,48967
"RJDemetra_0.2.4",2023-10-18,3391,52358
"RJDemetra_0.2.5",2024-02-04,1610,53968
"RJDemetra_0.2.6",2024-03-19,6424,60392
"RJDemetra_0.2.7",2024-10-01,2752,63144
"RJDemetra_0.2.8",2024-12-12,3231,66375
